,frame,ficTracTReadMs,ficTracTWriteMs,dx,dy,dz
0,10.0,0.0,0.0,0.003056020475924015,0.0025138205382972956,0.004162078723311424
1,11.0,2.0,2.0,0.0023423705715686083,0.0026711090467870235,0.004516385030001402
2,11.0,5.0,5.0,0.013028031215071678,0.006970473565161228,0.011270732618868351
3,12.0,9.0,9.0,0.019593900069594383,0.0032541658729314804,0.016344545409083366
4,12.0,12.0,12.0,0.013754566200077534,0.0004943042295053601,0.006478534545749426
5,13.0,15.0,15.0,-0.01715516485273838,-0.003018605522811413,0.0014731859555467963
6,13.0,17.0,17.0,-0.021287571638822556,0.0013793507823720574,-0.0015965376514941454
7,14.0,21.0,21.0,0.006809847895056009,-0.0013267715694382787,0.007128306198865175
8,14.0,24.0,24.0,-0.003952431492507458,-0.007658082991838455,0.01958368718624115
9,14.0,26.0,26.0,0.034957803785800934,0.012055073864758015,-0.002220322610810399
10,15.0,29.0,29.0,-0.001109863049350679,0.0038178127724677324,-0.0071473028510808945
11,15.0,33.0,33.0,0.00042816350469365716,0.0003425585455261171,0.0027221916243433952
12,16.0,36.0,36.0,0.0013991334708407521,0.0005394251784309745,0.002517035696655512
13,16.0,39.0,39.0,0.0013189130695536733,0.0005608226056210697,0.0024458307307213545
14,17.0,42.0,42.0,-0.004812126979231834,-0.005398401524871588,-0.00034571855212561786
15,17.0,45.0,45.0,-0.002766463439911604,-0.0027512311935424805,-0.0012788353487849236
16,18.0,48.0,48.0,-0.002909719478338957,-0.002956356154754758,-0.001157608232460916
17,18.0,51.0,51.0,0.006717924494296312,0.008102518506348133,-0.0009396717650815845
18,18.0,55.0,55.0,0.005755160469561815,0.0069966306909918785,-0.0009614654118195176
19,19.0,58.0,58.0,-0.023007864132523537,0.003923315554857254,-0.026293175294995308
20,19.0,61.0,61.0,-0.004256807267665863,-0.016429049894213676,0.0023631108924746513
21,20.0,64.0,64.0,0.004387159366160631,0.0026957348454743624,-0.002325208857655525
22,20.0,66.0,66.0,0.0048451730981469154,-0.001035300432704389,-0.0005253491108305752
23,21.0,69.0,69.0,0.0068995715118944645,0.0010792930843308568,0.002806691452860832
24,21.0,72.0,72.0,-0.016557134687900543,-0.004618581850081682,-0.009858994744718075
25,22.0,76.0,76.0,-0.0073709553107619286,0.01425049640238285,0.007881784811615944
26,22.0,79.0,79.0,-0.012611806392669678,-0.0015416553942486644,-0.018034469336271286
27,22.0,82.0,82.0,-0.009651615284383297,0.003524831496179104,-0.016140824183821678
28,23.0,85.0,85.0,-0.00496238237246871,-0.007804902270436287,0.008870047517120838
29,23.0,88.0,88.0,0.0015548148658126593,0.008983331732451916,-0.011801958084106445
30,24.0,90.0,90.0,-0.013330346904695034,0.003226452274248004,-0.0036129106301814318
31,24.0,93.0,93.0,-0.006246484816074371,-0.0012670786818489432,-0.008219256065785885
32,25.0,97.0,97.0,0.0022010577376931906,0.0012798929819837213,0.004201587289571762
33,25.0,100.0,100.0,-0.0009620854398235679,-0.00921583641320467,-0.0076745618134737015
34,26.0,106.0,106.0,-0.008801739662885666,0.002174222841858864,-0.02620263397693634
35,26.0,109.0,109.0,0.0013125702971592546,-0.008514989167451859,-0.01915695331990719
36,27.0,112.0,112.0,-0.004365353379398584,0.006795548368245363,0.004967770539224148
37,27.0,115.0,115.0,0.000576900492887944,0.004443730227649212,0.010104198008775711
38,28.0,118.0,118.0,0.0028155315667390823,0.0010921524371951818,-0.00012726902787107974
